type;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality;rel_err_fixed_acidity;rel_err_volatile_acidity;rel_err_citric_acid;rel_err_residual_sugar;rel_err_chlorides;rel_err_free_sulfur_dioxide;rel_err_total_sulfur_dioxide;rel_err_density;rel_err_pH;rel_err_sulphates;rel_err_alcohol;rel_err_quality;rel_err;rnum
white;7.2000000000;0.2700000000;0.3100000000;1.2000000000;0.0310000000;27.0000000000;80.0000000000;0.9889200000;3.0300000000;0.3300000000;12.7000000000;6;0.055700;0.204921;0.027473;0.779572;0.446981;0.115243;0.308523;0.005808;0.058518;0.378706;0.210350;0;2.591795;390
white;7.1000000000;0.3600000000;0.4000000000;1.9500000000;0.0330000000;26.0000000000;118.0000000000;0.9893400000;3.2000000000;0.4500000000;13.5000000000;7;0.369418;0.060104;0.254872;0.641804;0.411303;0.148012;0.019927;0.005386;0.005696;0.152781;0.286593;0;2.355896;245
white;7.1000000000;0.3600000000;0.2800000000;2.4000000000;0.0360000000;35.0000000000;115.0000000000;0.9893600000;3.1900000000;0.4400000000;13.5000000000;7;0.369418;0.060104;0.121589;0.559144;0.357785;0.146906;0.006002;0.005366;0.008803;0.171608;0.286593;0;2.093318;141
white;7.3000000000;0.4000000000;0.2600000000;5.4500000000;0.0160000000;26.0000000000;90.0000000000;0.9895100000;2.8400000000;0.5400000000;13.2000000000;7;0.258017;0.177893;0.184333;0.001109;0.714571;0.148012;0.222089;0.005215;0.117555;0.016662;0.258002;0;2.103458;143
white;7.5000000000;0.3400000000;0.2800000000;4.0000000000;0.0280000000;46.0000000000;100.0000000000;0.9895800000;3.2000000000;0.5000000000;13.2000000000;7;0.885453;0.001209;0.121589;0.265240;0.500499;0.507363;0.135654;0.005144;0.005696;0.058645;0.258002;0;2.744494;496
white;7.0000000000;0.3100000000;0.2900000000;1.4000000000;0.0370000000;33.0000000000;128.0000000000;0.9896000000;3.1200000000;0.3600000000;12.2000000000;7;0.683136;0.087132;0.090217;0.742834;0.339945;0.081369;0.106362;0.005124;0.030553;0.322224;0.162699;0;2.651595;430
white;7.1000000000;0.4400000000;0.3700000000;2.7000000000;0.0410000000;35.0000000000;128.0000000000;0.9896000000;3.0700000000;0.4300000000;13.5000000000;7;0.369418;0.295683;0.160756;0.504037;0.268588;0.146906;0.106362;0.005124;0.046089;0.190435;0.286593;0;2.379991;263
white;7.1000000000;0.4400000000;0.3700000000;2.7000000000;0.0410000000;35.0000000000;128.0000000000;0.9896000000;3.0700000000;0.4300000000;13.5000000000;7;0.369418;0.295683;0.160756;0.504037;0.268588;0.146906;0.106362;0.005124;0.046089;0.190435;0.286593;0;2.379991;264
white;6.9000000000;0.3300000000;0.3100000000;4.2000000000;0.0400000000;21.0000000000;93.0000000000;0.9896000000;3.1800000000;0.4800000000;13.4000000000;7;0.996854;0.028237;0.027473;0.228502;0.286427;0.311855;0.196158;0.005124;0.011910;0.096299;0.277063;0;2.465902;303
white;7.5000000000;0.3500000000;0.3700000000;2.5000000000;0.0660000000;29.0000000000;89.0000000000;0.9896400000;3.1400000000;0.4200000000;12.7000000000;6;0.885453;0.030657;0.160756;0.540775;0.177393;0.049705;0.230732;0.005084;0.024339;0.209262;0.210350;0;2.524506;343
white;7.1000000000;0.4200000000;0.2000000000;2.8000000000;0.0380000000;28.0000000000;109.0000000000;0.9896800000;3.2300000000;0.4700000000;13.4000000000;6;0.369418;0.236788;0.372563;0.485668;0.322106;0.082474;0.057863;0.005044;0.003625;0.115126;0.277063;0;2.327738;233
white;7.1000000000;0.3500000000;0.2700000000;3.1000000000;0.0340000000;28.0000000000;134.0000000000;0.9897000000;3.2600000000;0.3800000000;13.1000000000;7;0.369418;0.030657;0.152961;0.430561;0.393463;0.082474;0.158222;0.005024;0.012947;0.284570;0.248472;0;2.168769;169
white;7.1000000000;0.4300000000;0.2500000000;2.8000000000;0.0360000000;43.0000000000;132.0000000000;0.9897500000;3.2100000000;0.4700000000;13.4000000000;6;0.369418;0.266235;0.215704;0.485668;0.357785;0.409056;0.140935;0.004974;0.002588;0.115126;0.277063;0;2.644552;423
white;7.3000000000;0.2600000000;0.3200000000;1.2000000000;0.0410000000;29.0000000000;94.0000000000;0.9897800000;3.0700000000;0.4500000000;12.0000000000;6;0.258017;0.234369;0.003897;0.779572;0.268588;0.049705;0.187515;0.004943;0.046089;0.152781;0.143638;0;2.129114;152
white;7.1000000000;0.1800000000;0.3600000000;1.4000000000;0.0430000000;31.0000000000;87.0000000000;0.9898000000;3.2600000000;0.3700000000;12.7000000000;7;0.369418;0.469947;0.129385;0.742834;0.232910;0.015831;0.248019;0.004923;0.012947;0.303397;0.210350;0;2.739961;493
