type;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality;random_num;rnum
white;4.4000000000;0.5400000000;0.0900000000;5.1000000000;0.0380000000;52.0000000000;97.0000000000;0.9902200000;3.4100000000;0.4000000000;12.2000000000;7;57007628,6498511;208
red;4.7000000000;0.6000000000;0.1700000000;2.3000000000;0.0580000000;17.0000000000;106.0000000000;0.9932000000;3.8500000000;0.6000000000;12.9000000000;6;336415920,262848;468
white;4.7000000000;0.7850000000;0.0000000000;3.4000000000;0.0360000000;23.0000000000;134.0000000000;0.9898100000;3.5300000000;0.9200000000;13.8000000000;6;92175433,130599;370
white;4.8000000000;0.2100000000;0.2100000000;10.2000000000;0.0370000000;17.0000000000;112.0000000000;0.9932400000;3.6600000000;0.4800000000;12.2000000000;7;60960207,3990585;227
red;5.0000000000;0.3800000000;0.0100000000;1.6000000000;0.0480000000;26.0000000000;60.0000000000;0.9908400000;3.7000000000;0.7500000000;14.0000000000;6;7260295,7603358;11
red;5.0000000000;0.4000000000;0.5000000000;4.3000000000;0.0460000000;29.0000000000;80.0000000000;0.9902000000;3.4900000000;0.6600000000;13.6000000000;6;233462948,661866;297
red;5.0000000000;0.4200000000;0.2400000000;2.0000000000;0.0600000000;19.0000000000;50.0000000000;0.9917000000;3.7200000000;0.7400000000;14.0000000000;8;160040496,088381;203
white;5.0000000000;0.6100000000;0.1200000000;1.3000000000;0.0090000000;65.0000000000;100.0000000000;0.9874000000;3.2600000000;0.3700000000;13.5000000000;5;3423410,5611134;18
red;5.0000000000;0.7400000000;0.0000000000;1.2000000000;0.0410000000;16.0000000000;46.0000000000;0.9925800000;4.0100000000;0.5900000000;12.5000000000;6;158007643,301327;198
red;5.0000000000;1.0200000000;0.0400000000;1.4000000000;0.0450000000;41.0000000000;85.0000000000;0.9938000000;3.7500000000;0.4800000000;10.5000000000;4;93928068,1767805;115
white;5.1000000000;0.1100000000;0.3200000000;1.6000000000;0.0280000000;12.0000000000;90.0000000000;0.9900800000;3.5700000000;0.5200000000;12.2000000000;6;23930025,9392194;94
white;5.1000000000;0.2100000000;0.2800000000;1.4000000000;0.0470000000;48.0000000000;148.0000000000;0.9916800000;3.5000000000;0.4900000000;10.4000000000;5;119050402,645182;469
white;5.1000000000;0.3900000000;0.2100000000;1.7000000000;0.0270000000;15.0000000000;72.0000000000;0.9894000000;3.5000000000;0.4500000000;12.5000000000;6;82969077,3302716;332
red;5.1000000000;0.4200000000;0.0000000000;1.8000000000;0.0440000000;18.0000000000;88.0000000000;0.9915700000;3.6800000000;0.7300000000;13.6000000000;7;315325682,264226;432
red;5.1000000000;0.4700000000;0.0200000000;1.3000000000;0.0340000000;18.0000000000;44.0000000000;0.9921000000;3.9000000000;0.6200000000;12.8000000000;6;313078369,631119;426
red;5.1000000000;0.5850000000;0.0000000000;1.7000000000;0.0440000000;14.0000000000;86.0000000000;0.9926400000;3.5600000000;0.9400000000;12.9000000000;7;208975282,605687;271
white;5.2000000000;0.2000000000;0.2700000000;3.2000000000;0.0470000000;16.0000000000;93.0000000000;0.9923500000;3.4400000000;0.5300000000;10.1000000000;7;98372430,8935953;397
white;5.2000000000;0.2400000000;0.4500000000;3.8000000000;0.0270000000;21.0000000000;128.0000000000;0.9920000000;3.5500000000;0.4900000000;11.2000000000;8;95980393,522416;385
red;5.2000000000;0.3400000000;0.0000000000;1.8000000000;0.0500000000;27.0000000000;63.0000000000;0.9916000000;3.6800000000;0.7900000000;14.0000000000;6;302774080,877281;408
red;5.2000000000;0.4900000000;0.2600000000;2.3000000000;0.0900000000;23.0000000000;74.0000000000;0.9953000000;3.7100000000;0.6200000000;12.2000000000;6;121032716,280024;150
white;5.3000000000;0.2750000000;0.2400000000;7.4000000000;0.0380000000;28.0000000000;114.0000000000;0.9931300000;3.3800000000;0.5100000000;11.0000000000;6;39452077,964897;144
white;5.3000000000;0.4000000000;0.2500000000;3.9000000000;0.0310000000;45.0000000000;130.0000000000;0.9907200000;3.3100000000;0.5800000000;11.7500000000;7;111280352,58201;440
