type;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol;quality;random_num;rnum
white;3.8000000000;0.3100000000;0.0200000000;11.1000000000;0.0360000000;20.0000000000;114.0000000000;0.9924800000;3.7500000000;0.4400000000;12.4000000000;6;27135933,5576836;137
white;4.2000000000;0.2150000000;0.2300000000;5.1000000000;0.0410000000;64.0000000000;157.0000000000;0.9968800000;3.4200000000;0.4400000000;8.0000000000;3;30951798,3401627;152
white;4.5000000000;0.1900000000;0.2100000000;0.9500000000;0.0330000000;89.0000000000;159.0000000000;0.9933200000;3.3400000000;0.4200000000;8.0000000000;5;84651717,4294662;426
white;4.7000000000;0.4550000000;0.1800000000;1.9000000000;0.0360000000;33.0000000000;106.0000000000;0.9874600000;3.2100000000;0.8300000000;14.0000000000;7;540145,6875802;4
red;4.9000000000;0.4200000000;0.0000000000;2.1000000000;0.0480000000;16.0000000000;42.0000000000;0.9915400000;3.7100000000;0.7400000000;14.0000000000;7;76136703,3498773;142
white;4.9000000000;0.3350000000;0.1400000000;1.3000000000;0.0360000000;69.0000000000;168.0000000000;0.9921200000;3.4700000000;0.4600000000;10.4666666700;5;89890762,8196994;453
white;4.9000000000;0.3450000000;0.3400000000;1.0000000000;0.0680000000;32.0000000000;143.0000000000;0.9913800000;3.2400000000;0.4000000000;10.1000000000;5;67297357,106161;336
white;5.0000000000;0.3300000000;0.2300000000;11.8000000000;0.0300000000;23.0000000000;158.0000000000;0.9932200000;3.4100000000;0.6400000000;11.8000000000;6;75485917,4687397;384
red;5.0000000000;0.4200000000;0.2400000000;2.0000000000;0.0600000000;19.0000000000;50.0000000000;0.9917000000;3.7200000000;0.7400000000;14.0000000000;8;171430081,610693;286
red;5.0000000000;0.7400000000;0.0000000000;1.2000000000;0.0410000000;16.0000000000;46.0000000000;0.9925800000;4.0100000000;0.5900000000;12.5000000000;6;309293522,082172;480
red;5.0000000000;1.0400000000;0.2400000000;1.6000000000;0.0500000000;32.0000000000;96.0000000000;0.9934000000;3.7400000000;0.6200000000;11.5000000000;5;192114616,392642;309
red;5.1000000000;0.5850000000;0.0000000000;1.7000000000;0.0440000000;14.0000000000;86.0000000000;0.9926400000;3.5600000000;0.9400000000;12.9000000000;7;250263695,907134;395
red;5.1000000000;0.4700000000;0.0200000000;1.3000000000;0.0340000000;18.0000000000;44.0000000000;0.9921000000;3.9000000000;0.6200000000;12.8000000000;6;164106233,327456;275
red;5.1000000000;0.4200000000;0.0000000000;1.8000000000;0.0440000000;18.0000000000;88.0000000000;0.9915700000;3.6800000000;0.7300000000;13.6000000000;7;82281619,6904364;148
white;5.1000000000;0.1100000000;0.3200000000;1.6000000000;0.0280000000;12.0000000000;90.0000000000;0.9900800000;3.5700000000;0.5200000000;12.2000000000;6;90829982,1040248;459
red;5.2000000000;0.4900000000;0.2600000000;2.3000000000;0.0900000000;23.0000000000;74.0000000000;0.9953000000;3.7100000000;0.6200000000;12.2000000000;6;138117529,491146;233
red;5.2000000000;0.3200000000;0.2500000000;1.8000000000;0.1030000000;13.0000000000;50.0000000000;0.9957000000;3.3800000000;0.5500000000;9.2000000000;5;247496048,215133;385
red;5.2000000000;0.3400000000;0.0000000000;1.8000000000;0.0500000000;27.0000000000;63.0000000000;0.9916000000;3.6800000000;0.7900000000;14.0000000000;6;249715295,90735;394
white;5.3000000000;0.4700000000;0.1000000000;1.3000000000;0.0360000000;11.0000000000;74.0000000000;0.9908200000;3.4800000000;0.5400000000;11.2000000000;4;31094770,794763;154
