type;fixed_acidity;volatile_acidity;citric_acid;residual_sugar;chlorides;free_sulfur_dioxide;total_sulfur_dioxide;density;pH;sulphates;alcohol
red;7.2000000000;0.4500000000;0.1500000000;2.0000000000;0.0780000000;10.0000000000;28.0000000000;0.9960900000;3.2900000000;0.5100000000;9.9000000000
red;10.6000000000;0.4400000000;0.6800000000;4.1000000000;0.1140000000;6.0000000000;24.0000000000;0.9970000000;3.0600000000;0.6600000000;13.4000000000
red;8.0000000000;0.5900000000;0.1600000000;1.8000000000;0.0650000000;3.0000000000;16.0000000000;0.9962000000;3.4200000000;0.9200000000;10.5000000000
red;9.0000000000;0.4800000000;0.3200000000;2.8000000000;0.0840000000;21.0000000000;122.0000000000;0.9984000000;3.3200000000;0.6200000000;9.4000000000
red;8.2000000000;0.7800000000;0.0000000000;2.2000000000;0.0890000000;13.0000000000;26.0000000000;0.9978000000;3.3700000000;0.4600000000;9.6000000000
red;8.9000000000;0.3100000000;0.5700000000;2.0000000000;0.1110000000;26.0000000000;85.0000000000;0.9971000000;3.2600000000;0.5300000000;9.7000000000
red;7.3000000000;0.5900000000;0.2600000000;7.2000000000;0.0700000000;35.0000000000;121.0000000000;0.9981000000;3.3700000000;0.4900000000;9.4000000000
red;13.7000000000;0.4150000000;0.6800000000;2.9000000000;0.0850000000;17.0000000000;43.0000000000;1.0014000000;3.0600000000;0.8000000000;10.0000000000
red;6.8000000000;0.6400000000;0.1000000000;2.1000000000;0.0850000000;18.0000000000;101.0000000000;0.9956000000;3.3400000000;0.5200000000;10.2000000000
red;8.4000000000;0.3900000000;0.1000000000;1.7000000000;0.0750000000;6.0000000000;25.0000000000;0.9958100000;3.0900000000;0.4300000000;9.7000000000
red;8.9000000000;0.3500000000;0.4000000000;3.6000000000;0.1100000000;12.0000000000;24.0000000000;0.9954900000;3.2300000000;0.7000000000;12.0000000000
red;10.1000000000;0.4300000000;0.4000000000;2.6000000000;0.0920000000;13.0000000000;52.0000000000;0.9983400000;3.2200000000;0.6400000000;10.0000000000
red;9.3000000000;0.6100000000;0.2600000000;3.4000000000;0.0900000000;25.0000000000;87.0000000000;0.9997500000;3.2400000000;0.6200000000;9.7000000000
red;6.3000000000;0.6800000000;0.0100000000;3.7000000000;0.1030000000;32.0000000000;54.0000000000;0.9958600000;3.5100000000;0.6600000000;11.3000000000
